Ticker,Price Close,P_E,P_B,Current_Ratio,Debt_to_Equity,Dividend_Yield,Payout_Ratio,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Price_6M_Return,Volume,Vol_Avg_20,RSI_14,MA50,MA200,Market_Cap,ROE,ROA,Net_Debt,Net_Debt_EBITDA,FCF_Yield,Company_Name,P_E_raw,P_B_raw,Current_Ratio_raw,Debt_to_Equity_raw,Dividend_Yield_raw,Payout_Ratio_raw,Rev_Growth_YoY_raw,EPS_Growth_YoY_raw,Gross_Margin_raw,ROE_raw,ROA_raw,Net_Debt_EBITDA_raw,FCF_Yield_raw,Revenue,EPS_Basic,DPS_Net,Op_CashFlow,Total_Current_Assets,Total_Current_Liabilities,Debt_Total,Total_Equity,Shares_Outstanding
NTGCLGAS.SN,615.24,5.881026501229898,1.2434996961633331,1.7903869539486548,0.4154347957593383,0.10077368181522657,0.5926526933818569,0.13057648452143483,1.3272372997260646,0.5266735266131203,0.5596587475853356,51149.0,79403.65,75.3851064936973,520.39674917712,424.94208150805497,1292711921599.32,0.3505370732119869,0.12456205489259181,205135814000.0,0.4082009429944626,0.17342424886330368,Naturgy Chile Gas Natural SA,5.881026501229898,1.2434996961633331,1.7903869539486548,0.4154347957593383,0.10077368181522657,0.5926526933818569,0.13057648452143483,1.3272372997260646,0.5266735266131203,0.3505370732119869,0.12456205489259181,0.4082009429944626,0.17342424886330368,884873768000.0,104.61439,62.0,285224254000.0,358855262000.0,200434471000.0,431875870000.0,1039575583000.0,2101150643.0
NUAM.SN,4976.0,13.681324343398163,0.9813407407230206,2.0292847142740658,0.03635790032443778,0.028135048231511254,0.38492472027245633,1.1912258296868272,9.784301154255298,,-0.0008032128514056103,15515.0,59390.7,77.0746686851822,4635.536,4636.489435852494,439758836672.0,0.06856006713266,0.05053752813940791,-59133255000.0,-0.9490969982804202,0.061308521288701685,Holding Bursatil Regional SA,13.681324343398163,0.9813407407230206,2.0292847142740658,0.03635790032443778,0.028135048231511254,0.38492472027245633,5.860287296161368,10.893950136040182,,0.06856006713266,0.05053752813940791,-0.9490969982804202,0.061308521288701685,139199071000.0,363.70748,140.0,48989326000.0,105546217000.0,52011537000.0,16292718000.0,448120432000.0,88375972.0
NUTRAVALOR.SN,95.7,-1209.0966519267215,144.79850859726304,0.9557116658238337,1.2585846099939655,0.0,,-0.012541241949255273,-0.5719960278053624,0.09738223528124491,-0.22666666666666668,0.0,0.0,0.0,95.7,116.7375,29753776740.600002,-0.029710532694849596,-0.008737201365187713,154096000.0,9.757234217691382,0.0006394818434608012,Inversiones Nutravalor SA,-1209.0966519267215,144.79850859726304,0.9557116658238337,1.2585846099939655,0.0,,-0.012541241949255273,-0.5719960278053624,0.09738223528124491,-0.029710532694849596,-0.008737201365187713,9.757234217691382,0.0006394818434608012,374709000.0,-0.07915,0.0,23773000.0,313720000.0,328258000.0,258619000.0,205484000.0,310906758.0
OROBLANCO.SN,9.5,-24358.97435897436,1159.9392659326215,0.3553542722888587,0.18002242326666276,2.8421052631578946e-05,,,-1.240740740740741,,0.7037857128550467,512848958.0,205704858.4,77.47224672404624,7.91238,5.8156298313,2045375424764.4905,-0.004720565712950303,-0.003513436187277221,295580000.0,,-6.693147788052798e-07,Sociedad de Inversiones Oro Blanco SA,-24358.97435897436,1159.9392659326215,0.3553542722888587,0.18002242326666276,2.8421052631578946e-05,,,-1.240740740740741,,-0.004720565712950303,-0.003513436187277221,,-6.693147788052798e-07,0.0,-0.00039,0.00027,-1369000.0,22990000.0,64696000.0,317442000.0,1763347000.0,215302676290.999
OSOJIX.SN,12424.0,1.998736056847271,0.7030184424236275,1.8626069828858371,1.3444688384116061,,,1.1489002424318464,1.204137050567778,0.4766315510966741,0.0,0.0,0.0,5.638442473809846e-05,12424.0,12424.0,1684011080.0,0.5003230426820143,0.2047553842465518,3220542000.0,3.2429932422158605,-1.5334008372438974,Osoji Robotics Corporation Chile SPA,1.998736056847271,0.7030184424236275,1.8626069828858371,1.3444688384116061,,,1.1489002424318464,1.204137050567778,0.4766315510966741,0.5003230426820143,0.2047553842465518,3.2429932422158605,-1.5334008372438974,5412319000.0,6215.92829,0.0,-2582264000.0,6010480000.0,3226918000.0,3220542000.0,2395401000.0,135545.0
OXIQUIM.SN,11900.0,11.252987381265362,2.535844234943029,1.2296025502282932,0.5057153807549466,0.05915966386554622,0.665722950958892,0.0,,0.32813747524034914,0.2240105363471987,38.0,53.1,99.99065962243638,11742.960936,10346.698546609825,296151789500.0,0.22534853626201093,0.11003988575637273,50639312000.0,1.1035016693086563,0.06364281989253352,Oxiquim SA,11.252987381265362,2.535844234943029,1.2296025502282932,0.5057153807549466,0.05915966386554622,0.665722950958892,0.0,,0.32813747524034914,0.22534853626201093,0.11003988575637273,1.1035016693086563,0.06364281989253352,235353682000.0,,0.0,33248080000.0,78301024000.0,63679946000.0,59060613000.0,116786270000.0,24886705.0
NITRATOS.SN,4.65,-13676.470588235294,1396.6727972066944,1.1233599816394446,0.052048966580133256,5.806451612903225e-05,,,-1.3300970873786409,,0.8526621757418367,70455810.0,107682170.55,92.2617160111029,3.41352,2.6583895753749998,715014068474.7924,-0.035684757024103925,-0.02147652661478813,24706000.0,,1.2445908958102874e-05,Nitratos de Chile SA,-13676.470588235294,1396.6727972066944,1.1233599816394446,0.052048966580133256,5.806451612903225e-05,,,-1.3300970873786409,,-0.035684757024103925,-0.02147652661478813,,1.2445908958102874e-05,0.0,-0.00034,0.00027,8899000.0,29368000.0,26143000.0,26646000.0,511941000.0,153766466338.665
MASISA.SN,18.47,-5919.871794871795,414.8162630109399,1.377273724317781,0.4022942610449966,0.0,,-0.010213306536986688,0.5549215406562054,0.12031346557379276,0.37733035048471275,796476.0,3138893.2,61.188497817502565,16.8304,15.074750000000002,138171978678.84,-0.04653148531129291,-0.029289587220149255,107951000.0,5.141992950366771,6.0330611747087875e-05,Masisa SA,-5919.871794871795,414.8162630109399,1.377273724317781,0.4022942610449966,0.0,,-0.010213306536986688,0.5549215406562054,0.12031346557379276,-0.04653148531129291,-0.029289587220149255,5.141992950366771,6.0330611747087875e-05,294514000.0,-0.00312,0.0,18874000.0,169530000.0,123091000.0,134001000.0,333092000.0,7480886772.0
MARINSA.SN,96.0,3.6957760359722203,0.8710317145423728,122.81491714247396,0.0,0.22387468749999997,0.8273907051232695,0.21070167506926757,0.3867972477181772,0.6974770479545394,0.04121475054229928,360603.0,61593.1,34.933837868310164,93.98559999999999,93.2543,270240479520.0,0.219885199908478,0.2184885148632877,-241915520000.0,-95.33360994824032,0.2676693407607968,Maritima de Inversiones SA,3.6957760359722203,0.8710317145423728,228.7511180070102,0.0,0.22387468749999997,0.8273907051232695,0.21070167506926757,0.3867972477181772,0.6974770479545394,0.219885199908478,0.2184885148632877,-102.06445553857169,0.2676693407607968,3398281000.0,25.9756,21.49197,72335091000.0,244146297000.0,1067301000.0,0.0,310253318000.0,2815004995.0
MARBELLACC.SN,801000.0,-123.31488819718012,0.7099750380717068,85.62171717171717,,,,,-1.3363013833816995,,0.0,0.0,0.0,44.464683262497466,801000.0,801000.0,8490600000.0,-0.0057408890703029,-0.00567391163809487,-127142000.0,-95.33360994824032,-0.004408640143217205,Marbella Country Club SA,-123.31488819718012,0.7099750380717068,85.62171717171717,,,,,-1.3363013833816995,,-0.0057408890703029,-0.00567391163809487,-183.46608946608947,-0.004408640143217205,0.0,-6495.56604,0.0,-37432000.0,339062000.0,3960000.0,,11959012000.0,10600.0
